region,offense,incident_count,offense_count,year
Northeast,bribery,12,12,2004
Northeast,bribery,27,27,2018
Northeast,bribery,19,19,2015
Northeast,bribery,18,18,2014
Northeast,bribery,1,1,1996
Northeast,bribery,46,46,2008
Northeast,bribery,34,34,2009
Northeast,bribery,20,20,2016
Northeast,bribery,3,3,1998
Northeast,bribery,1,1,1997
Northeast,bribery,14,14,2017
Northeast,bribery,128,128,2007
Northeast,bribery,121,121,2006
Northeast,bribery,11,11,2003
Northeast,bribery,20,20,2019
Northeast,bribery,5,5,1999
Northeast,bribery,19,19,2010
Northeast,bribery,14,14,2013
Northeast,bribery,16,16,2012
Northeast,bribery,8,8,2000
Northeast,bribery,6,6,2002
Northeast,bribery,4,4,2001
Northeast,bribery,8,8,2005
Northeast,bribery,13,13,2011
Northeast,burglary-breaking-and-entering,30398,30398,2003
Northeast,burglary-breaking-and-entering,41446,41446,2006
Northeast,burglary-breaking-and-entering,15350,15350,1997
Northeast,burglary-breaking-and-entering,16262,16262,1998
Northeast,burglary-breaking-and-entering,48149,48149,2007
Northeast,burglary-breaking-and-entering,29786,29786,2017
Northeast,burglary-breaking-and-entering,47,47,1993
Northeast,burglary-breaking-and-entering,52863,52863,2009
Northeast,burglary-breaking-and-entering,52883,52883,2008
Northeast,burglary-breaking-and-entering,33557,33557,2016
Northeast,burglary-breaking-and-entering,13364,13364,1996
Northeast,burglary-breaking-and-entering,25193,25193,2018
Northeast,burglary-breaking-and-entering,11182,11182,1995
Northeast,burglary-breaking-and-entering,40986,40986,2014
Northeast,burglary-breaking-and-entering,34901,34901,2015
Northeast,burglary-breaking-and-entering,34829,34829,2004
Northeast,burglary-breaking-and-entering,57172,57172,2011
Northeast,burglary-breaking-and-entering,39643,39643,2005
Northeast,burglary-breaking-and-entering,23876,23876,2001
Northeast,burglary-breaking-and-entering,27877,27877,2002
Northeast,burglary-breaking-and-entering,2122,2122,1994
Northeast,burglary-breaking-and-entering,19135,19135,2000
Northeast,burglary-breaking-and-entering,54942,54942,2012
Northeast,burglary-breaking-and-entering,49292,49292,2013
Northeast,burglary-breaking-and-entering,56139,56139,2010
Northeast,burglary-breaking-and-entering,17563,17563,1999
Northeast,burglary-breaking-and-entering,23124,23124,2019
Northeast,counterfeiting-forgery,4482,4482,2003
Northeast,counterfeiting-forgery,7114,7114,2006
Northeast,counterfeiting-forgery,6567,6567,2017
Northeast,counterfeiting-forgery,7177,7177,2007
Northeast,counterfeiting-forgery,962,962,1997
Northeast,counterfeiting-forgery,1359,1359,1998
Northeast,counterfeiting-forgery,3,3,1993
Northeast,counterfeiting-forgery,6247,6247,2016
Northeast,counterfeiting-forgery,7240,7240,2008
Northeast,counterfeiting-forgery,7122,7122,2009
Northeast,counterfeiting-forgery,726,726,1996
